SpotID,Day,Month,Date,Year,Hour,Minute,Second,Status
1,Wednesday,6,25,2025,7,0,5,0
2,Wednesday,6,25,2025,7,0,5,0
3,Wednesday,6,25,2025,7,0,5,0
4,Wednesday,6,25,2025,7,0,5,1
5,Wednesday,6,25,2025,7,0,5,0
6,Wednesday,6,25,2025,7,0,5,0
7,Wednesday,6,25,2025,7,0,5,0
8,Wednesday,6,25,2025,7,0,5,0
9,Wednesday,6,25,2025,7,0,5,0
10,Wednesday,6,25,2025,7,0,5,0
11,Wednesday,6,25,2025,7,0,5,0
12,Wednesday,6,25,2025,7,0,5,1
13,Wednesday,6,25,2025,7,0,5,0
14,Wednesday,6,25,2025,7,0,5,0
1,Wednesday,6,25,2025,7,1,4,0
2,Wednesday,6,25,2025,7,1,4,0
3,Wednesday,6,25,2025,7,1,4,0
4,Wednesday,6,25,2025,7,1,4,1
5,Wednesday,6,25,2025,7,1,4,0
6,Wednesday,6,25,2025,7,1,4,0
7,Wednesday,6,25,2025,7,1,4,0
8,Wednesday,6,25,2025,7,1,4,0
9,Wednesday,6,25,2025,7,1,4,0
10,Wednesday,6,25,2025,7,1,4,0
11,Wednesday,6,25,2025,7,1,4,0
12,Wednesday,6,25,2025,7,1,4,1
13,Wednesday,6,25,2025,7,1,4,0
14,Wednesday,6,25,2025,7,1,4,0
1,Wednesday,6,25,2025,7,2,4,0
2,Wednesday,6,25,2025,7,2,4,0
3,Wednesday,6,25,2025,7,2,4,0
4,Wednesday,6,25,2025,7,2,4,1
5,Wednesday,6,25,2025,7,2,4,0
6,Wednesday,6,25,2025,7,2,4,0
7,Wednesday,6,25,2025,7,2,4,0
8,Wednesday,6,25,2025,7,2,4,0
9,Wednesday,6,25,2025,7,2,4,0
10,Wednesday,6,25,2025,7,2,4,0
11,Wednesday,6,25,2025,7,2,4,0
12,Wednesday,6,25,2025,7,2,4,1
13,Wednesday,6,25,2025,7,2,4,0
14,Wednesday,6,25,2025,7,2,4,0
1,Wednesday,6,25,2025,7,3,4,0
2,Wednesday,6,25,2025,7,3,4,0
3,Wednesday,6,25,2025,7,3,4,0
4,Wednesday,6,25,2025,7,3,4,1
5,Wednesday,6,25,2025,7,3,4,0
6,Wednesday,6,25,2025,7,3,4,0
7,Wednesday,6,25,2025,7,3,4,0
8,Wednesday,6,25,2025,7,3,4,0
9,Wednesday,6,25,2025,7,3,4,0
10,Wednesday,6,25,2025,7,3,4,0
11,Wednesday,6,25,2025,7,3,4,0
12,Wednesday,6,25,2025,7,3,4,1
13,Wednesday,6,25,2025,7,3,4,0
14,Wednesday,6,25,2025,7,3,4,0
1,Wednesday,6,25,2025,7,4,4,0
2,Wednesday,6,25,2025,7,4,4,0
3,Wednesday,6,25,2025,7,4,4,0
4,Wednesday,6,25,2025,7,4,4,1
5,Wednesday,6,25,2025,7,4,4,0
6,Wednesday,6,25,2025,7,4,4,0
7,Wednesday,6,25,2025,7,4,4,0
8,Wednesday,6,25,2025,7,4,4,0
9,Wednesday,6,25,2025,7,4,4,0
10,Wednesday,6,25,2025,7,4,4,0
11,Wednesday,6,25,2025,7,4,4,0
12,Wednesday,6,25,2025,7,4,4,1
13,Wednesday,6,25,2025,7,4,4,0
14,Wednesday,6,25,2025,7,4,4,0
1,Wednesday,6,25,2025,7,5,4,0
2,Wednesday,6,25,2025,7,5,4,0
3,Wednesday,6,25,2025,7,5,4,0
4,Wednesday,6,25,2025,7,5,4,1
5,Wednesday,6,25,2025,7,5,4,0
